src,tgt
81-89-21=,-29
58-61+7=,4
6-54-10=,-58
100-53-13=,34
36+49+10=,95
21+32+19=,72
56-20+61=,97
58-38+84=,104
94+93-85=,102
71+41+44=,156
25+82-5=,102
43-62-97=,-116
46-90+76=,32
57+48-99=,6
76-39-51=,-14
25+7-29=,3
36+49-32=,53
69-60-70=,-61
24-88-43=,-107
83-78+84=,89
23-12+45=,56
41+72+85=,198
89+23+90=,202
76-45+91=,122
29-73-56=,-100
58-67-74=,-83
87+25-9=,103
65+16+6=,87
29-79-17=,-67
29-52-96=,-119
27+81-95=,13
37-60+26=,3
13-86+30=,-43
25-24-36=,-35
30-12-67=,-49
32+5+51=,88
67-13+17=,71
27-9-74=,-56
6+80-66=,20
8+13-89=,-68
15-99-73=,-157
70+6-72=,4
45+86+87=,218
78-57-79=,-58
3-15-26=,-38
53-87-53=,-87
79+10-5=,84
10-8+65=,67
69-16+30=,83
85-16+90=,159
100+72-56=,116
66+95-73=,88
35-47+40=,28
62+99-14=,147
97+79-31=,145
90-91-33=,-34
19-44+48=,23
88+35-76=,47
75+89-33=,131
83-24+95=,154
92-60+70=,102
78-28+64=,114
60+71+83=,214
87+100-65=,122
50+82+57=,189
65+46+23=,134
1+1-77=,-75
97+95-69=,123
76+43+39=,158
49+72-10=,111
40-76-50=,-86
85-91-68=,-74
0+16+75=,91
85+60+3=,148
25+22-71=,-24
44-52-98=,-106
65+42+41=,148
18+7+0=,25
32-87+1=,-54
30-85-85=,-140
58+98-58=,98
81+23-35=,69
70+57-1=,126
100-8-64=,28
99+41-28=,112
28+25+58=,111
57+75-52=,80
25-18+5=,12
69+99-8=,160
84-83+4=,5
28+11+84=,123
50-35+99=,114
32+24+22=,78
69+100-13=,156
26-14-57=,-45
53+9+1=,63
83+50-12=,121
36+56+61=,153
31-29-41=,-39
74+28+80=,182
8+13+45=,66
2-3+18=,17
55+74-59=,70
21+89+34=,144
39+87+56=,182
15-99-85=,-169
34-100+4=,-62
20+65-54=,31
20-89-46=,-115
56+93+75=,224
4-21+26=,9
20-55-59=,-94
37+10+82=,129
58-22+41=,77
61+62+70=,193
6+25+71=,102
61-11-90=,-40
98-48-19=,31
97+19+99=,215
5+93+65=,163
22-8+17=,31
4-51+39=,-8
17-100-62=,-145
44-68+73=,49
96+100-40=,156
17-63+80=,34
97+63+62=,222
30+38-36=,32
57-19+34=,72
95-6-25=,64
88+90+51=,229
98-80-27=,-9
57+52+0=,109
74-45+78=,107
32+67-38=,61
43+57+44=,144
78-14-86=,-22
21+6+39=,66
84-56+90=,118
29-3+59=,85
60+84-7=,137
22-40-56=,-74
64+64-39=,89
47+39-88=,-2
53-39+27=,41
74-41+98=,131
85-70-17=,-2
22+7+61=,90
10+88+35=,133
71+50-20=,101
25+6-61=,-30
66-30+25=,61
72-46-86=,-60
49+38-25=,62
52+94+15=,161
32+41-76=,-3
61+60-61=,60
66-2-54=,10
37+24-55=,6
83+61-37=,107
5+65-88=,-18
43+81-65=,59
38+36+64=,138
93+56+37=,186
67-34-30=,3
79-38+21=,62
27+51+33=,111
28-27-54=,-53
63+42-99=,6
2+68-56=,14
42+56+15=,113
63-85+70=,48
87-57-48=,-18
18+79-34=,63
23-68-29=,-74
2-41-41=,-80
40-59-74=,-93
29-33+41=,37
10+45+34=,89
26-73-79=,-126
38+100+45=,183
93+17-52=,58
56-90+96=,62
73-39+98=,132
62-87+94=,69
19-26-86=,-93
15+56+88=,159
6-4-19=,-17
74-36-96=,-58
73-2+58=,129
62+95-27=,130
3+83+19=,105
33-59-98=,-124
37+8-2=,43
97-76-25=,-4
36+64-65=,35
72+88+59=,219
17+65+85=,167
65-35-2=,28
11+49+90=,150
72-87+7=,-8
15+22+28=,65
21-38+97=,80
30-16+56=,70
34-82-50=,-98
45-60+43=,28
49+26+55=,130
8+24+74=,106
43-85+32=,-10
82+26+5=,113
4+83-67=,20
42+86-51=,77
79-64-43=,-28
33+90-49=,74
14-19+94=,89
19-36+40=,23
72+15-8=,79
29+0+68=,97
4-27-83=,-106
34-33-59=,-58
36+100-24=,112
40+60-39=,61
82-23-23=,36
16-24+82=,74
16+31+89=,136
23+41-71=,-7
30+46-24=,52
9+77+69=,155
62+88-65=,85
46+23-60=,9
57+69+78=,204
17+85-95=,7
7-78+34=,-37
19-12-77=,-70
2-10-66=,-74
82+16+74=,172
93-74+23=,42
16-57+19=,-22
67+49+6=,122
46-7-100=,-61
9+4-26=,-13
32+17-25=,24
80+79+72=,231
3-7+32=,28
33+10-97=,-54
37+63+45=,145
54+3-55=,2
83+86+64=,233
2-4+54=,52
23+1+50=,74
46+13-89=,-30
5-90-66=,-151
27-24+71=,74
23-59+33=,-3
77+63-45=,95
42-91-93=,-142
57+55-26=,86
13+8+18=,39
51-13+19=,57
90-58-17=,15
39+5-61=,-17
68+41-23=,86
15+48+19=,82
24+9-38=,-5
3+90-61=,32
58+78-48=,88
85-24+25=,86
26+46-80=,-8
52+78-3=,127
33+65-97=,1
76+30+27=,133
37-54+75=,58
73-90-92=,-109
38-34+35=,39
61-96-39=,-74
34-0+81=,115
93-69+29=,53
62-10+77=,129
57-81+27=,3
30+48-27=,51
90-73-10=,7
60-71-67=,-78
50-11+63=,102
44-24+39=,59
92-97+47=,42
81-84-16=,-19
4+8-94=,-82
75-0-10=,65
91+3+92=,186
54-49+23=,28
83-15+99=,167
1+14+54=,69
39-73-25=,-59
82+59+68=,209
21+25+72=,118
10+73+77=,160
63-50-53=,-40
89+46-22=,113
93+75-20=,148
12+26-30=,8
59-9+3=,53
39-70-8=,-39
57-77+20=,0
74+68+12=,154
80+14+85=,179
44+17-12=,49
4+73+72=,149
70+27-51=,46
92-12-21=,59
9-85+78=,2
80-59-10=,11
54-88+41=,7
34-5+45=,74
38-91+53=,0
43-27-97=,-81
74+67+91=,232
78+78-88=,68
58-31+81=,108
32+24-60=,-4
79-15+47=,111
63-63+52=,52
57-49-65=,-57
96+60-9=,147
36+63-4=,95
51+61-83=,29
47-18-70=,-41
73-6+37=,104
13-50+23=,-14
63+33+36=,132
68+14-32=,50
95-70-53=,-28
50+5-51=,4
3-42+46=,7
50+67+48=,165
22-86-88=,-152
22+69+70=,161
65-9-41=,15
64-64-6=,-6
77+18+57=,152
33-50-13=,-30
75-14+83=,144
79-13+83=,149
32-90-96=,-154
20+65-20=,65
72+18+82=,172
16-2-100=,-86
79-13+90=,156
85+24-35=,74
17-8-4=,5
10+86-4=,92
71-49-1=,21
47+100-59=,88
64-50-32=,-18
69-61-89=,-81
44-41-9=,-6
15+68+69=,152
65+45-1=,109
64+58+79=,201
53-31-48=,-26
99-3-34=,62
50+12+76=,138
99-22-71=,6
2-4-69=,-71
30-58-86=,-114
77-4+10=,83
66+86+36=,188
40-6-18=,16
18+76+58=,152
29-90+72=,11
99+58-95=,62
3+85+54=,142
60+88+25=,173
33+4+96=,133
28+93-83=,38
98-23+39=,114
21-0-19=,2
34-100+88=,22
52-48-85=,-81
84+9+90=,183
44+2+27=,73
2+50+34=,86
97-31+35=,101
3+91-50=,44
47-14+1=,34
83+38+54=,175
1+55-30=,26
97+69+44=,210
64-90-16=,-42
27+9-3=,33
89+6+14=,109
16-65-19=,-68
0-83-22=,-105
71-17-54=,0
37+100-14=,123
86-30-14=,42
34+48+4=,86
67+28+66=,161
88-65-19=,4
67-36+15=,46
41-96+91=,36
51+43+12=,106
5+27-68=,-36
40-8+9=,41
73+46+98=,217
14+56-83=,-13
15-8+56=,63
29+57+32=,118
81+99-53=,127
82-8+43=,117
91-9+100=,182
24+78-40=,62
88-77-38=,-27
35-90-31=,-86
75-8+96=,163
28+44-66=,6
56-79+46=,23
68-57-86=,-75
1-30-12=,-41
77+37+2=,116
72+92+3=,167
28+73+14=,115
24-17-69=,-62
88-0-40=,48
57-19+44=,82
15+21-93=,-57
28+42-56=,14
54-99+90=,45
27+37-18=,46
65+29-35=,59
73+2-78=,-3
82+38+79=,199
70+89+68=,227
33+41-76=,-2
29+25+48=,102
12+11+10=,33
51-43-88=,-80
50+99-11=,138
41-44-37=,-40
53+41+75=,169
19+80-76=,23
93-87+16=,22
88+28+22=,138
58+15-1=,72
96+53-67=,82
92-99+32=,25
31-58+75=,48
69+17-94=,-8
68+99-92=,75
52+36-7=,81
24+69+81=,174
42-54+43=,31
7+94-86=,15
13+6-56=,-37
26+18-78=,-34
22+34-56=,0
33+63+69=,165
16-55+61=,22
85+34-72=,47
33-61-41=,-69
1+30+28=,59
17-37+85=,65
22-27+1=,-4
98+6-99=,5
27+75-16=,86
66+58+85=,209
27-36-83=,-92
87+76+16=,179
74+100-53=,121
88+49+5=,142
63-96-17=,-50
25+27+71=,123
30+4-46=,-12
11+53+29=,93
1+46-44=,3
7+15+5=,27
89-94+25=,20
77+51+61=,189
37+19+8=,64
96-5-35=,56
47-35-64=,-52
24-48+88=,64
28+70+14=,112
73+13+54=,140
4+100+78=,182
62-42+97=,117
98-6-74=,18
1-75+69=,-5
64+32+97=,193
79-90+24=,13
9+73+55=,137
35+69+14=,118
80-48+47=,79
71+25-97=,-1
50-78+24=,-4
26+38-77=,-13
49+17+34=,100
40-68-19=,-47
57+44+5=,106
19-9-74=,-64
20-64+61=,17
62-94+45=,13
25+49-75=,-1
69-23-51=,-5
80-37-31=,12
30-36+63=,57
33+45-100=,-22
43-44-9=,-10
60+17-72=,5
22+77-29=,70
95-79+88=,104
18+61-79=,0
31+66+5=,102
90-68+4=,26
15-59-5=,-49
68+12-39=,41
88-74-35=,-21
76+7-17=,66
95-10-94=,-9
81-72-81=,-72
30+90+97=,217
79+100-21=,158
2+28-39=,-9
28+74+11=,113
40-7-44=,-11
2+79+94=,175
43+53-26=,70
36+39+60=,135
58-20-79=,-41
88+55-46=,97
76+33+97=,206
35-21+26=,40
26-55+69=,40
74-49-41=,-16
86-88-0=,-2
98+68-31=,135
3+38+90=,131
94-8+28=,114
40+67+23=,130
18+38+61=,117
20+88+74=,182
77+94-15=,156
46-19+34=,61
64-33+72=,103
41+39+88=,168
24-68+26=,-18
85+79-87=,77
7+14-43=,-22
91+90-27=,154
45+78+40=,163
61-69+70=,62
28-21+24=,31
10-54-69=,-113
19-14-61=,-56
20-56+58=,22
24-27+78=,75
64+60+19=,143
59+60-42=,77
17-79-41=,-103
52-6+48=,94
90+60-76=,74
12+38-91=,-41
28+58+46=,132
47-48-64=,-65
14+92-34=,72
58-45-74=,-61
1+7+29=,37
34-24+1=,11
81+72-32=,121
37-45+49=,41
24-97+94=,21
16+7+3=,26
16-8+90=,98
28+86+44=,158
51-38+96=,109
87+18-72=,33
57+30+66=,153
30+34+21=,85
96+68-37=,127
49+57+11=,117
38+98-10=,126
60-25+78=,113
69+80+96=,245
12+32+14=,58
83+75-26=,132
91+51+25=,167
66+39-48=,57
92+24+59=,175
86-36-86=,-36
87+54-68=,73
73+98+15=,186
73-47-31=,-5
22+86-70=,38
48+89-19=,118
72-88+89=,73
78+99+2=,179
7-80-68=,-141
61-11-67=,-17
30+38+96=,164
35+33-5=,63
92+55+17=,164
5+75+62=,142
85-73-58=,-46
91-45-41=,5
15-56-75=,-116
69-27+83=,125
21+19+51=,91
54+81+23=,158
72-44+53=,81
100+84-68=,116
3+69-49=,23
16-50+46=,12
64+17-85=,-4
10-79+65=,-4
4+71-47=,28
0+98-40=,58
72-84+38=,26
83+52+37=,172
96+62+42=,200
99+16-57=,58
72+28-56=,44
76+91-93=,74
67+48+73=,188
81-99-68=,-86
81+74-72=,83
41+37+12=,90
64-77-59=,-72
84-24-73=,-13
98+82+28=,208
17+21-88=,-50
17-76+78=,19
70+1+47=,118
57-96-56=,-95
91-70+21=,42
80-37-95=,-52
11+61-62=,10
97-36+41=,102
88-93+11=,6
2-47+90=,45
93+59-74=,78
94-45-4=,45
65+46-91=,20
55+8+55=,118
21-44-49=,-72
49-9-76=,-36
86-13+13=,86
27-83+61=,5
50-70+47=,27
56-74+4=,-14
29-78-6=,-55
10+65-77=,-2
13+11+17=,41
57-70+88=,75
60-30-42=,-12
44-16+60=,88
86-27+3=,62
43+28+52=,123
83-14+94=,163
4+97+34=,135
90-21+34=,103
51+73+83=,207
72-48+59=,83
18+3+23=,44
61-81+26=,6
13+10+50=,73
81-5+64=,140
67-31+38=,74
45-92+23=,-24
97+11-3=,105
30-9+98=,119
97-18+91=,170
57-61+11=,7
16-95-92=,-171
29+95-0=,124
5-39+91=,57
31-34-52=,-55
14+94-84=,24
78+0+4=,82
50+13-26=,37
41+1-37=,5
26+77-38=,65
33+15-72=,-24
10-89+41=,-38
48-4-86=,-42
22-9-92=,-79
42+14+83=,139
75+98+98=,271
57+26+28=,111
89+69-67=,91
61-92+29=,-2
97-0-7=,90
8-96-33=,-121
60-1-89=,-30
72-21+6=,57
92+64-10=,146
21-66-78=,-123
84+64+23=,171
67-67+0=,0
92+81+24=,197
5-3-60=,-58
36-44-17=,-25
32+52-65=,19
15-17+89=,87
71+82-51=,102
61-11+57=,107
69-59-92=,-82
14-91-91=,-168
60-27+72=,105
41+77-20=,98
89-72+3=,20
60-89-79=,-108
86-42-56=,-12
51-42-52=,-43
28-80+42=,-10
11-16+59=,54
71+47-64=,54
46-65+82=,63
56+5-37=,24
47+20-35=,32
6+49-99=,-44
53-58+74=,69
67-0+89=,156
97+73-69=,101
6-43-57=,-94
91+89-3=,177
96+58-53=,101
38+40+16=,94
64-8-14=,42
3+16+78=,97
97+70+68=,235
66-84+42=,24
72-90+85=,67
96+53+95=,244
38-94-82=,-138
4+28+75=,107
48+29+24=,101
64+57+26=,147
89+56+16=,161
37-1-91=,-55
31+20+97=,148
64+76-0=,140
96-99-36=,-39
29+50+98=,177
96+89-5=,180
8+45+2=,55
61-1+100=,160
57+47+76=,180
50+91-99=,42
7+57+58=,122
92+89+88=,269
17+83-94=,6
2+46-4=,44
59+2-27=,34
91+100-7=,184
5-98-97=,-190
97-15-65=,17
79-52+82=,109
0-44-22=,-66
15-72-91=,-148
55+16-71=,0
52-32+81=,101
1-46+20=,-25
35-81+71=,25
45+3+89=,137
11-0-94=,-83
40+8+83=,131
79+48-85=,42
55+42-35=,62
93+96-55=,134
21+72+100=,193
64+14-80=,-2
0+64-72=,-8
48-55-80=,-87
1-12+81=,70
0+38+72=,110
39+3-31=,11
33-92-2=,-61
21+10-66=,-35
4-7+28=,25
98+87-77=,108
29+33-90=,-28
96-37+0=,59
45+67+19=,131
13+11+48=,72
86+19+54=,159
79-32-53=,-6
37-72-69=,-104
4+64-47=,21
3-98+50=,-45
65+53+82=,200
68+1-67=,2
21-84-60=,-123
97+72+34=,203
87-68+51=,70
57+0-45=,12
92+95-16=,171
4-94+25=,-65
83+81+23=,187
81-4+51=,128
5-85+85=,5
37-89+1=,-51
12+80+78=,170
63-11-81=,-29
93+8-100=,1
88+18-71=,35
83+85-5=,163
77+94+38=,209
85+26+22=,133
50-44+8=,14
100-80-10=,10
10-38+94=,66
82+30+14=,126
46-71+33=,8
59+23+99=,181
87-59+49=,77
51-55+75=,71
69-28+98=,139
22-73-35=,-86
80-23+89=,146
40-98-3=,-61
88+88-53=,123
36+58+55=,149
9+69-67=,11
16+64+60=,140
84+100+49=,233
84-64+14=,34
46-95-56=,-105
95+16-69=,42
55+5+48=,108
1-85-40=,-124
69+95-9=,155
23+52-17=,58
22+99-78=,43
54-52+63=,65
37+92+42=,171
75+7+25=,107
60+86-30=,116
0-91+79=,-12
14-1+73=,86
0-9-37=,-46
94+65+90=,249
86+26+55=,167
21-80+62=,3
71+86-44=,113
39+31-58=,12
70+35+51=,156
87-54-60=,-27
40-70-88=,-118
75-35+28=,68
66-36-49=,-19
3+93-23=,73
16-53-81=,-118
23+41+58=,122
2-89-22=,-109
85+1-38=,48
9+7+40=,56
24-32-40=,-48
85+53+47=,185
89+35+38=,162
52+62+94=,208
43+87-74=,56
42+38+57=,137
45+2+95=,142
19+97+81=,197
25-87-40=,-102
35-64-77=,-106
29+82+40=,151
61+11-94=,-22
33+77-71=,39
31-58-79=,-106
70-0-25=,45
41+59+21=,121
86+29-90=,25
70+94+25=,189
50+72-13=,109
33-92+24=,-35
87-19-7=,61
19-32-37=,-50
59-38-87=,-66
37-66-74=,-103
96-3+0=,93
88-54+48=,82
97-20+19=,96
58-39-82=,-63
20+64-80=,4
55-63+51=,43
7+96+15=,118
70-66-79=,-75
10-34+62=,38
78-20+16=,74
100+20+26=,146
88-84-34=,-30
2+12+14=,28
94+25-85=,34
65+69-85=,49
64-68+76=,72
27+74+0=,101
1-44-44=,-87
55-21-67=,-33
62-15+8=,55
41-96-5=,-60
21-18-75=,-72
2-76-72=,-146
90+27+20=,137
7+30-34=,3
55-40-43=,-28
40-0+37=,77
24-100+44=,-32
11+12-51=,-28
54-44+80=,90
48-94+19=,-27
65-81+93=,77
98+94-28=,164
91-54-69=,-32
73-47+11=,37
78+51-50=,79
27+31-16=,42
41-65-65=,-89
80-37+77=,120
64+34+32=,130
65-66-29=,-30
68-38+90=,120
23-89-99=,-165
72+47+51=,170
0-89-85=,-174
92+64-4=,152
87-78+27=,36
68-62+92=,98
5+21+74=,100
89-22+46=,113
57+53-1=,109
2-26+14=,-10
21+5-90=,-64
61+30-45=,46
99-68-48=,-17
0-54-80=,-134
94+100+80=,274
18+53-34=,37
7-5-70=,-68
25+17+62=,104
93+59-2=,150
64-57-48=,-41
11+18+38=,67
36+78+33=,147
73-82+24=,15
8+10+79=,97
33-57+78=,54
42-54+89=,77
54+92+82=,228
49-69-31=,-51
0-66+13=,-53
62+20-4=,78
67-35-53=,-21
30-25+47=,52
30+25-46=,9
14+32+75=,121
73+34-84=,23
37+84+82=,203
12+26-1=,37
55-87+29=,-3
40-35-15=,-10
42+15-92=,-35
51+15-33=,33
94+98-13=,179
38+26-82=,-18
97-38-1=,58
30+17-90=,-43
99-45+1=,55
9-43+83=,49
6+5-64=,-53
52-71+44=,25
92-40+10=,62
65+77+16=,158
83+87+8=,178
5+41-90=,-44
76-54+55=,77
87-17-90=,-20
45+54+44=,143
35+47+8=,90
20-28-31=,-39
50-22+46=,74
70-92+73=,51
72-21+60=,111
74+18-26=,66
53-15-92=,-54
69+23+56=,148
9-72+3=,-60
86-49-66=,-29
56-55+23=,24
22-15+98=,105
41+42+97=,180
83+37+93=,213
11+33-82=,-38
51-9+62=,104
36+95-98=,33
5-23-51=,-69
86+62-50=,98
61+57+82=,200
41-9+29=,61
39-9-88=,-58
49-23-56=,-30
9+71-14=,66
18+37-97=,-42
48-18-48=,-18
9-30+50=,29
13-65-97=,-149
33+57-95=,-5
39-59+89=,69
77-20-92=,-35
76-100-91=,-115
80+89-84=,85
68-39+91=,120
23-72-7=,-56
95+76+72=,243
7+90-95=,2
69+38+13=,120
88+14-100=,2
18-92+97=,23
16-10+5=,11
52+3-12=,43
14-26+18=,6
79-30-19=,30
76+65-35=,106
75-21+26=,80
40-80-41=,-81
7-21+24=,10
15+29+74=,118
5+54+16=,75
28-90-95=,-157
2-18-95=,-111
31-39+60=,52
3-87-71=,-155
34-2-12=,20
74+79+95=,248
19-1+3=,21
50-5+20=,65
92+36+73=,201
90+7-25=,72
95+8+46=,149
95+46-94=,47
21+51-88=,-16
4+35+98=,137
68-36+50=,82
67+82-57=,92
67-72-80=,-85
11+82-51=,42
52-10+65=,107
60-74+100=,86
64-93-48=,-77
67-62+80=,85
66+83-87=,62
27-36+15=,6
85+99+80=,264
11-2-27=,-18
28+94-65=,57
42-34+75=,83
20-36-52=,-68
0+81-3=,78
44-5+7=,46
49+100+68=,217
3+57-85=,-25
10-95+22=,-63
16+35-58=,-7
91-83-66=,-58
87+100-52=,135
89-47+43=,85
58-34-71=,-47
22+96-73=,45
60+59+85=,204
1-0-74=,-73
47-21+78=,104
67-66-59=,-58
100-73-91=,-64
65+76-89=,52
57+72-29=,100
71-64+77=,84
60-72+20=,8
68+96-21=,143
63-67-93=,-97
70-33+41=,78
48-71-92=,-115
63-62+42=,43
46-87-38=,-79
78-9-79=,-10
47-89+66=,24
97+62-32=,127
44+55-20=,79
55-27+42=,70
16-21+26=,21
77+61+78=,216
69-18-21=,30
16-98-94=,-176
90+40-77=,53
75-58-30=,-13
96+38+16=,150
82+94-4=,172
0-77-44=,-121
46-60-69=,-83
91-91-63=,-63
33-53-7=,-27
24-3-55=,-34
96-17-8=,71
92-38-23=,31
12+12+43=,67
91+4+58=,153
3+53-74=,-18
4-81-12=,-89
5-25+6=,-14
25+34+97=,156
55+34+63=,152
98-1-69=,28
55-55+86=,86
32-9+89=,112
51+67+95=,213
28+92+82=,202
74-64+46=,56
79-16-32=,31
36-83-14=,-61
38-90-81=,-133
80+52+16=,148
65+40+64=,169
25+92-59=,58
58-98+63=,23
21+12-54=,-21
65+46-27=,84
42+40+43=,125
72+89-68=,93
89-28+47=,108
98+40+1=,139
79-92-54=,-67
18+98-70=,46
95-16-14=,65
76+88-40=,124
62-87+55=,30
42-54-19=,-31
54+39+36=,129
17-53-0=,-36
10+38+35=,83
55+3+90=,148
83-72+80=,91
86+34-67=,53
4-27+43=,20
0+54-85=,-31
98+47-77=,68
83+16-50=,49
10-5+17=,22
99+96-65=,130
25+49+8=,82
3-88-47=,-132
66+36+42=,144
53+38-35=,56
30-60+56=,26
90+13-33=,70
38+90-27=,101
1+39-55=,-15
75-82+37=,30
54-35-5=,14
46+69+42=,157
1+27-92=,-64
22-80+38=,-20
100+8+24=,132
90-59+20=,51
41-52-85=,-96
18-94-50=,-126
39-76-97=,-134
47+71-36=,82
86-99+56=,43
4-52-95=,-143
15-35+76=,56
77+62-96=,43
66+81-41=,106
15+56+56=,127
33+21-42=,12
20-4-42=,-26
86-7-18=,61
95-61-62=,-28
36-8+34=,62
42-94+78=,26
72+97+22=,191
2+75-23=,54
57+65-69=,53
30+53+94=,177
47+41-19=,69
74-3+49=,120
24+46-93=,-23
4+97+7=,108
11-26-43=,-58
45-15+45=,75
91+27-10=,108
32-63+36=,5
28+39+80=,147
9-57+67=,19
0-44-25=,-69
12+4+81=,97
62-38-40=,-16
29-36+4=,-3
93-73-95=,-75
28-11+75=,92
95+67+54=,216
32+48-52=,28
7-14-97=,-104
91-99+22=,14
51+97+44=,192
26-29+79=,76
47+13+23=,83
37+39+84=,160
54+61+3=,118
29+47+41=,117
70-50-8=,12
82+19-100=,1
49-64+32=,17
28+91-35=,84
19-23-52=,-56
21-7-94=,-80
22+83-11=,94
78-32+100=,146
50+57+54=,161
13-75-65=,-127
90+1+6=,97
100+64-67=,97
56+29-13=,72
36+50+7=,93
24-63+8=,-31
4+56+92=,152
66+9-74=,1
50+89-71=,68
50-39-16=,-5
96+39+36=,171
15-9+32=,38
9-82+97=,24
56+88-63=,81
5-78+67=,-6
29+53+77=,159
43-76+39=,6
99-48+2=,53
28-88+95=,35
94-31+81=,144
100-4-79=,17
7+41+33=,81
11-59-62=,-110
64-58+75=,81
30+99+6=,135
89-96-86=,-93
60+94+92=,246
11+12+11=,34
27+27-53=,1
91-3-59=,29
56+42-52=,46
88-7-30=,51
13+53+24=,90
38+91+81=,210
52-22+17=,47
71+14-13=,72
16+62+78=,156
76+84+27=,187
32+26-58=,0
30-67+13=,-24
80+98-57=,121
36+54-2=,88
73+98+78=,249
87+81+80=,248
79-98+67=,48
84+15-16=,83
36-92+28=,-28
3+14+71=,88
37+69-25=,81
22+63+82=,167
90-37+6=,59
8-36-69=,-97
99+74-7=,166
1-89+85=,-3
54-91+68=,31
98+40+0=,138
66+60-79=,47
90-33-62=,-5
64-33-36=,-5
70+51+2=,123
40-87+52=,5
41+88-84=,45
32-41+51=,42
75+18+20=,113
94+61+67=,222
12-49-55=,-92
70-98-72=,-100
16-34-80=,-98
94+70+59=,223
99+42+12=,153
61-64+11=,8
75-35+70=,110
48+49+8=,105
49-9-79=,-39
86+32+88=,206
85-60+37=,62
27+91+11=,129
79-19-92=,-32
93+100-96=,97
66-59+36=,43
50-49+50=,51
23+82+28=,133
23+74+1=,98
27-78-1=,-52
69-33+93=,129
38+100+93=,231
26+94+63=,183
94-57+44=,81
36-35+71=,72
54-15+50=,89
10+63+73=,146
18-2+94=,110
5+15-14=,6
45+76-34=,87
61-24-0=,37
32+95+96=,223
43-72-1=,-30
15+59+8=,82
78-87-47=,-56
83+62-69=,76
71-49-45=,-23
36-35-0=,1
46+34-98=,-18
21+77-100=,-2
45-71+3=,-23
19+2+35=,56
46-25-11=,10
91-11+74=,154
45+90-9=,126
99+55-82=,72
43-38-56=,-51
39+50+42=,131
29-47-80=,-98
59-1-79=,-21
52+49-40=,61
16-88+36=,-36
11-100+60=,-29
75+3-4=,74
95+76-91=,80
88-29+60=,119
86+40-76=,50
39+71+86=,196
66+32+46=,144
91+27+87=,205
12+31+64=,107
45+65-30=,80
69-43+1=,27
40-99-11=,-70
54-59+9=,4
2+6-33=,-25
30-40+31=,21
82+48-37=,93
37+71+89=,197
1+35-24=,12
69-30-18=,21
4-98+59=,-35
17-94-68=,-145
17-17-5=,-5
22+85+38=,145
83+97-90=,90
22-68+71=,25
44-48+64=,60
0+61+12=,73
58+6-46=,18
19-81-95=,-157
74-50+10=,34
32-14+9=,27
11+15+84=,110
61+2-76=,-13
12+40+42=,94
29+32-55=,6
3-17+63=,49
6+60+48=,114
46+40-47=,39
44-95-0=,-51
10+45-50=,5
53-62+12=,3
43-26-20=,-3
67+49-87=,29
35+92-81=,46
15-52-14=,-51
77+75-62=,90
98+8+26=,132
3+69-54=,18
85+23-15=,93
98-94+19=,23
85+48-19=,114
49-16-61=,-28
55-91-67=,-103
43-94+26=,-25
83+5-83=,5
40-20-10=,10
5+99-34=,70
15-41+28=,2
31+31+10=,72
47+92+2=,141
55+91-17=,129
38-68-14=,-44
89+79-12=,156
92+80-58=,114
65-15-64=,-14
52-49-40=,-37
40-13-43=,-16
75+86+64=,225
30+13-24=,19
33+21-82=,-28
68+100-84=,84
57+62-39=,80
59-38-95=,-74
54+13+83=,150
79-50+70=,99
38-51+2=,-11
74-81-85=,-92
94+16+74=,184
3+45-78=,-30
73-85-76=,-88
2+65+60=,127
23-39-21=,-37
62+40-46=,56
90-96-62=,-68
92-35+26=,83
43-74-30=,-61
96+52-78=,70
41+60-80=,21
28+10+9=,47
72+73-11=,134
61-87-96=,-122
85-9-82=,-6
83-39-61=,-17
84-96-25=,-37
91+79+96=,266
36+100-60=,76
55+68+4=,127
51+73-46=,78
53+73-58=,68
82+95-65=,112
62-29+72=,105
56+40+68=,164
95-43+52=,104
67-97-12=,-42
92-34-35=,23
20+54-8=,66
62-85-86=,-109
30-25+4=,9
18-62+42=,-2
56-4+61=,113
3+0-31=,-28
23+59-58=,24
81-40-34=,7
38-69+19=,-12
11+12+0=,23
4-98+75=,-19
30+57+11=,98
30+41+54=,125
16-63-82=,-129
10+20-68=,-38
94+79-19=,154
13-86-47=,-120
89+81-71=,99
50+80-84=,46
93+54+61=,208
37-17-21=,-1
48+23-59=,12
68+24+13=,105
35+33+8=,76
67+38-82=,23
68-4+2=,66
47-8+90=,129
77+36-14=,99
60-95+84=,49
47-34-97=,-84
61+55-81=,35
70-21+89=,138
0+45+77=,122
83-61+92=,114
89+33-86=,36
41+69+11=,121
19-34-56=,-71
65+26+88=,179
80+99-59=,120
66+64-63=,67
42+67+94=,203
16-61+28=,-17
18+41+56=,115
4+30-61=,-27
5-80-30=,-105
26+46-28=,44
83+63+86=,232
35+32-46=,21
98+62+69=,229
96-63+80=,113
79+21-22=,78
76+66+85=,227
87+30-49=,68
74+64-49=,89
79-85+64=,58
40+85+56=,181
0+98-95=,3
20-73+64=,11
50+88-40=,98
80+53+19=,152
2-70-33=,-101
83-66+17=,34
19-12+2=,9
55+30+48=,133
53-14-20=,19
68+31-32=,67
50+93+15=,158
31-44+17=,4
87-48+95=,134
14-73+95=,36
20+20-3=,37
